"ID","Fecha de evaluación (dd/mm/aaaa)","Edad","Género","Años de educacion","OCUPACIÓN U OFICIO","LATERALIDAD","BILINGÜE","ESTADO CIVIL ACTUAL","ÁREA DE RESIDENCIA","INGRESOS MENSUALES","CONSUMO DE ALCOHOL","TRABAJOS POR FUERA DE LA COMUNIDAD","SERVICIOS DE INTERNET","SERVICIOS DE SALUD","SERVICIO DE ELECTRICIDAD","AC_Hablar","AC_Leer","AC_Escribir","AC_Idioma_Infancia","AC_Idioma_casa","AC_Idioma_trabajo","AC_Idioma_amigos","AC_Idioma_pensamiento","AC_Amigos_cercanos","AC_Fiestas","AC_Visitas","AC_Amigos_hijos","AC_Rituales","AC_Religion","AC_Vestimenta","AC_Se_considera","Fecha de nacimiento (dd/mm/aaaa)","Mano dominante","Edad comienzo escuela","Residencia actual","Tiempo vivido aquí","Residencia en otro lugar","¿Dónde?...39","¿Cuánto tiempo?","Lugar de nacimiento","Curso de idioma","¿Qué idioma?","¿Dónde?...44","Idioma materno padre","Idioma materno madre","Idioma casa 1","Porcentaje","P_I_Idioma","P_I_Primer contacto","P_I_Guardería","P_I_Preescolar","P_I_Primaria","P_I_Secundaria","P_I_Bachiller","P_I_Universidad","P_I_Contextos específicos","P_I_Expresión","P_I_Comprensión","P_I_Lectura","P_I_Escritura","P_I_Acento","S_I_Idioma","S_I_Primer contacto","S_I_Guardería","S_I_Preescolar","S_I_Primaria","S_I_Secundaria","S_I_Bachiller","S_I_Universidad","S_I_Contextos específicos","S_I_Expresión","S_I_Comprensión","S_I_Lectura","S_I_Escritura","S_I_Acento","SF1","SF2","SF3","SF4","SF5","SF6","SF7","SF8","SF9","SF10","SF11","SF12","SF13","SF14","SF15","SF16","SF17","SF18","SF19","SF20","SF21","SF22","SF23","SF24","SF25","SF26","SF27","SF28","SF29","SF30","SF31","SF32","SF33","SF34","SF35","SF36","MMSE","PHQ-9","Bartel","Figura de rey puntuación copia","Figura de rey puntuación memoria inmediata","Fluidez verbal M","Fluidez verbal R","Fluidez verbal P","Fluidez semantica animales","Fluidez semantica frutas","HLVRT-R ensayo 1","HLVRT-R ensayo 2","HLVRT-R ensayo 3","Total recuerdo inmediato","HLVRT-R evocación tardía","Reconocimiento total correctas","Falsos positivos semanticamente relacionados","Falsos positivos no relacionados semanticamente","Número total errores","STROOP P","STROOP C","STROOP PC","STROOP pc Calculado","Interferencia","M-WCST categorías correctas","M-WCST perseveraciones","M-WCST errores","M-WCST total errores","TMT A tiempo (sg)","TMT B tiempo (sg)","BTA-N","BTA-L","Total","SDMT","Errores","AC_Religion_rec","AC_Hablar_inv","AC_Leer_inv","AC_Escribir_inv","AC_Idioma_Infancia_inv","AC_Idioma_casa_inv","AC_Idioma_trabajo_inv","AC_Idioma_amigos_inv","AC_Idioma_pensamiento_inv","AC_Rituales_inv","AC_sub_lenguaje","AC_sub_social","AC_sub_rituales","AC_sub_identidad","AC_total","AC_items_usados"
"AG70S1001",2020-07-04,25,"H",0,"artesania","Diestro","si","union civil","Rural",50000,"Nunca/casi nunca","Si","NO","NO","Si",5,3,3,5,5,5,5,5,1,2,2,3,5,2,2,1,"17882","derecha","NA","Resguardo",8,"si","Florencia",13,"Florencia","No",NA,NA,"Embera","Embera","Embera",100,"Embera","Desde el nacimiento","NA","NA","NA","NA","NA","NA","comunidad",5,5,2,2,5,"Español","7","NA","NA","NA","NA","NA","NA","Visitantes",3,3,1,1,3,3,3,2,3,3,3,3,2,3,3,3,3,2,2,2,2,1,1,1,2,2,1,4,4,6,4,3,3,4,5,4,4,2,4,1,4,23,2,100,18,5,2,4,5,10,8,3,2,3,8,4,8,1,0,1,21,20,15,10.2439024390244,4.75609756097561,1,18,21,39,105,356,2,1,3,4,4,1,1,3,3,1,1,1,1,1,1,12,8,1,4,25,16
"AG56S1002",2020-07-04,56,"M",0,"Ama de casa","Diestro","si","soltero/a","Rural",1e+05,"Nunca/casi nunca","Si","NO","NO","Si",5,3,3,5,5,5,5,5,2,2,2,3,5,2,1,1,"23/09/1968","derecha","NA","Resguardo",8,"si","Florencia",13,"Florencia","No",NA,NA,"Embera","Embera","Embera",100,"Embera","Desde el nacimiento","NA","NA","NA","NA","NA","NA","comunidad",5,5,1,1,5,"Español","5","NA","NA","NA","NA","NA","NA","Visitantes",3,3,1,1,3,2,3,2,3,3,3,3,2,2,3,3,3,2,2,2,2,1,1,1,1,1,1,2,5,5,2,2,5,4,5,4,5,2,3,3,3,23,8,100,15,8,3,2,4,9,8,4,4,5,13,4,5,2,1,3,15,12,10,6.66666666666667,3.33333333333333,0,20,15,35,150,272,3,2,5,8,3,1,1,3,3,1,1,1,1,1,1,12,9,1,3,25,16
"AG24S1003",2020-07-04,24,"H",9,"artesania","Diestro","si","union civil","Rural",1e+05,"Nunca/casi nunca","NO","NO","NO","Si",3,3,2,5,4,5,3,5,2,2,2,2,5,2,3,1,"35206","derecha","7","Resguardo",8,"si","Florencia",8,"Florencia","No",NA,NA,"Embera","Embera","Embera",90,"Embera","Desde el nacimiento","1","5","5","5","5","NA","comunidad",5,5,5,3,5,"Español","3","NA","NA","5","5","5","NA","otros",3,3,5,5,3,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,4,6,1,1,6,6,1,6,5,5,1,3,1,29,2,100,35,30,7,5,7,13,14,2,6,10,18,9,12,2,0,2,95,76,51,42.2222222222222,8.77777777777778,1,15,19,34,70,201,6,8,14,33,4,1,3,3,4,1,2,1,3,1,1,18,8,1,5,32,16
"AG24S1004",2020-07-04,24,"M",5,"Ama de casa","Diestro","si","union civil","Rural",80000,"Nunca/casi nunca","Si","NO","NO","Si",4,2,2,4,4,2,2,1,4,4,4,1,3,2,3,1,"34967","derecha","5","Resguardo",4,"si","Resguardo Hondura-Florencia",18,"Florencia","No",NA,NA,"Embera","Embera","Embera",100,"Embera","Desde el nacimiento","NA","NA","5","NA","NA","NA","comunidad",5,5,3,1,5,"Español","6","NA","NA","4","NA","NA","NA","otros",2,3,4,4,1,4,2,3,3,3,2,3,3,2,3,3,3,2,2,2,2,1,1,1,3,1,1,4,4,6,4,3,3,4,5,4,4,2,4,1,4,25,6,100,29,16,7,9,5,13,12,4,4,5,13,7,10,2,1,3,58,50,24,26.8518518518519,-2.85185185185185,1,7,12,19,126,317,4,7,11,29,0,1,2,4,4,2,2,4,4,5,3,27,13,3,5,48,16
"AG30S1005",2020-07-04,30,"H",11,"artesania","Diestro","si","union civil","Rural",50000,"Nunca/casi nunca","NO","NO","NO","Si",3,2,1,4,4,4,5,5,3,3,3,3,5,5,3,2,"32818","derecha","6","resguardo",6,"si","Florencia",8,"Florencia","No",NA,NA,"Embera","Embera","Embera",80,"Embera","Desde el nacimiento","NA","NA","5","4","4","NA","comunidad",5,5,2,2,5,"Español","7","NA","NA","4","4","5","NA","otros",5,3,5,4,2,4,2,1,1,3,3,3,3,3,3,3,3,2,2,1,2,2,2,2,1,3,2,1,4,5,1,1,4,4,1,4,3,4,3,3,3,30,4,100,34,21,9,8,11,17,15,4,6,6,16,7,11,3,0,3,100,63,29,38.6503067484663,-9.65030674846626,1,17,12,29,95,168,9,9,18,41,0,4,3,4,5,2,2,2,1,1,1,20,12,1,9,42,16
"AG49S1006",2020-07-05,49,"H",0,"Agricultura","Diestro","si","union civil","Rural",2e+05,"Nunca/casi nunca","Si","NO","NO","Si",3,3,2,4,3,4,3,3,3,3,3,3,4,5,3,1,"25984","derecha","NA","Resguardo",7,"si","Resguardo Hondura-Florencia",40,"Doncello","No",NA,NA,"Embera","Embera","Embera",50,"Embera","Desde el nacimiento","NA","NA","NA","NA","NA","NA","comunidad",5,5,3,3,5,"Español","7","NA","NA","NA","NA","NA","NA","Visitantes",4,5,2,2,3,4,2,3,3,3,3,3,3,3,3,3,3,2,2,1,1,2,2,2,1,1,1,3,4,4,3,4,4,4,2,4,3,4,3,2,3,25,5,100,32,8,7,7,9,11,11,5,4,8,17,8,11,4,1,5,48,60,60,26.6666666666667,33.3333333333333,1,21,16,37,200,577,1,1,2,6,2,4,3,3,4,2,3,2,3,3,2,23,12,2,8,45,16
"AG18S2007",2020-07-11,18,"H",7,"estudiante","Zurdo","si","soltero/a","Rural",1e+05,"Nunca/casi nunca","NO","SI","NO","Si",3,1,1,4,2,3,3,3,1,2,1,3,4,1,2,1,"37416","zurdo","5","Resguardo",13,"si","Resguardo Hondura-Florencia",6,"Florencia","No",NA,NA,"Embera","Embera","Embera",80,"Embera","Desde el nacimiento","NA","5","5","5","5","NA","comunidad",5,5,0,0,5,"Español","6","NA","5","5","5","5","NA","otros",4,5,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,1,2,2,2,4,2,5,4,6,2,4,3,4,4,4,4,4,1,27,8,100,29,12,3,3,2,12,9,1,3,4,8,3,9,0,0,0,34,40,30,18.3783783783784,11.6216216216216,1,14,21,35,113,363,3,6,9,22,2,NA,3,5,5,2,4,3,3,3,2,28,7,2,3,40,15
"AG16S2008",2020-07-11,18,"M",9,"Ama de casa","Diestro","si","union civil","Rural",150000,"Nunca/casi nunca","NO","SI","NO","Si",3,2,1,3,3,3,3,3,2,2,3,3,4,4,3,4,"38147","derecha","4","Resguardo",7,"si","Florencia",3,"Florencia","No",NA,NA,"Embera","Embera","Embera",90,"Embera","Desde el nacimiento","NA","NA","4","4","NA","NA","comunidad",5,5,3,3,5,"Español","4","NA","5","5","5","NA","NA","otros",5,5,4,4,3,4,2,3,3,3,3,3,3,3,3,3,3,1,1,1,2,1,1,1,2,3,2,4,4,4,4,4,4,4,4,4,3,4,4,3,4,28,7,100,35,24,11,4,8,16,15,6,7,10,23,12,12,0,0,0,71,62,17,33.0977443609023,-16.0977443609023,6,0,5,5,81,128,6,5,11,34,1,3,3,4,5,3,3,3,3,3,2,27,10,2,10,49,16
"AG31S2010",2020-07-11,31,"M",1,"Ama de casa","Diestro","si","union civil","Rural",30000,"Nunca/casi nunca","Si","NO","NO","Si",3,2,1,3,4,3,3,1,1,3,3,3,5,2,3,1,"32757","derecha","7","Resguardo",8,"si","Florencia",6,"Florencia","No",NA,NA,"Embera","Embera","Embera",80,"Embera","Desde el nacimiento","NA","NA","5","NA","NA","NA","comunidad",5,5,5,5,5,"Español","5","NA","NA","5","NA","NA","NA","otros",3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,2,4,4,4,1,1,3,28,5,100,33,5,4,3,3,9,5,4,4,5,13,8,11,4,0,4,78,56,38,32.5970149253731,5.40298507462686,3,6,9,15,120,458,1,4,5,21,1,1,3,4,5,3,2,3,3,5,1,28,10,1,5,44,16
"AG32S2O11",2020-07-12,32,"M",5,"Ama de casa","Diestro","si","union civil","Rural",5e+05,"Nunca/casi nunca","Si","NO","NO","Si",4,3,2,4,2,3,3,2,2,4,4,3,3,1,3,1,"31746","derecha","6","Resguardo",10,"si","Florencia",6,"Florencia","No",NA,NA,"Embera","Embera","Embera",70,"Embera","Desde el nacimiento","NA","NA","5","NA","NA","NA","comunidad",5,5,5,5,5,"Español","5","NA","NA","4","NA","NA","NA","otros",4,4,4,3,2,5,4,2,3,3,3,3,3,3,3,3,3,1,2,2,1,1,1,1,2,3,2,4,5,6,4,4,5,4,4,4,3,4,2,4,4,27,4,100,30,12,7,1,8,11,14,5,7,6,18,7,10,0,0,0,60,54,15,28.4210526315789,-13.4210526315789,2,12,16,28,113,389,3,2,5,22,5,NA,2,3,4,2,4,3,3,4,3,25,13,3,4,45,15
